Loan.number,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
76933,6000,6000,0.0890,36 months,other,0.1716,NY,MORTGAGE,12500,715-719,12,60368,2,< 1 year
29775,3200,3200,0.1749,60 months,debt_consolidation,0.0790,CA,RENT,2609,670-674,9,5382,0,3 years
100072,24375,24375,0.1409,36 months,credit_card,0.2636,MT,MORTGAGE,4583.33,710-714,11,27379,3,4 years
78792,25225,25225,0.1212,36 months,debt_consolidation,0.3077,CA,MORTGAGE,6500,715-719,8,11736,0,10+ years
13110,20000,19900,0.1595,60 months,debt_consolidation,0.1220,VA,MORTGAGE,6666.67,700-704,12,20744,1,5 years
74037,30225,30225,0.1777,36 months,credit_card,0.2815,TX,MORTGAGE,8333.33,710-714,21,28631,0,10+ years
5465,7000,7000,0.0740,36 months,credit_card,0.0889,AZ,MORTGAGE,3352,770-774,14,14014,2,< 1 year
23345,35000,14869.55,0.1565,60 months,home_improvement,0.2619,FL,MORTGAGE,6308.75,735-739,14,34883,0,10+ years
59271,7575,7575,0.0976,36 months,debt_consolidation,0.1099,TX,RENT,2375,725-729,3,5640,0,3 years
54197,15000,15000,0.1311,36 months,other,0.1655,PA,RENT,4166.67,695-699,11,9066,0,2 years
45525,24000,24000,0.1581,60 months,small_business,0.0062,NY,OWN,10000,725-729,8,0,3,10+ years
94545,19800,19775,0.1531,60 months,debt_consolidation,0.1503,IL,MORTGAGE,6666.67,675-679,10,46879,3,6 years
10785,9250,6475,0.1075,60 months,small_business,0.0341,CA,MORTGAGE,8500,755-759,6,105060,0,4 years
42562,6000,6000,0.1596,36 months,debt_consolidation,0.0638,NC,MORTGAGE,6916.67,660-664,7,6309,1,6 years
70606,3500,3500,0.1531,36 months,other,0.0714,NY,RENT,5000,685-689,2,14064,0,1 year
102226,7200,5675,0.1482,36 months,debt_consolidation,0.0967,CA,RENT,4500,645-649,7,6572,1,6 years
56056,12000,12000,0.0603,36 months,medical,0.2257,MT,MORTGAGE,7500,760-764,8,5116,0,10+ years
53245,20000,20000,0.0790,36 months,credit_card,0.1359,CA,RENT,7258.33,730-734,5,14268,0,9 years
71531,3900,3900,0.1212,36 months,debt_consolidation,0.0755,HI,MORTGAGE,2583.33,685-689,8,3724,0,1 year
45828,16000,16000,0.1922,60 months,credit_card,0.2128,NC,RENT,3416.67,680-684,8,26060,1,10+ years
28189,15000,15000,0.1599,36 months,other,0.1134,SC,MORTGAGE,8583.33,675-679,6,3844,2,7 years
55542,28200,28200,0.2050,60 months,debt_consolidation,0.1560,NY,MORTGAGE,4833.33,695-699,18,27158,0,9 years
26424,15000,14975,0.1349,36 months,small_business,0.0344,AK,RENT,6666.67,705-709,3,2698,0,< 1 year
27371,7400,7400,0.1399,36 months,other,0.2052,NY,RENT,4166.25,675-679,17,6653,1,n/a
24445,15000,15000,0.1059,36 months,debt_consolidation,0.1466,MA,RENT,5150,730-734,9,5116,2,2 years
25133,4500,4500,0.0599,36 months,debt_consolidation,0.2146,NY,RENT,3644.83,765-769,8,1058,2,< 1 year
72072,3000,3000,0.1409,36 months,debt_consolidation,0.1236,NC,RENT,4789.33,680-684,9,1353,2,10+ years
43844,9000,9000,0.1427,36 months,debt_consolidation,0.1874,TX,RENT,5833.33,675-679,13,11637,3,8 years
60894,4000,4000,0.0890,36 months,credit_card,0.2411,FL,RENT,4583.33,705-709,17,11351,0,1 year
59206,10000,10000,0.1727,36 months,credit_card,0.2184,MI,MORTGAGE,2916.67,665-669,18,21245,0,10+ years
24426,6400,6400,0.1599,60 months,debt_consolidation,0.2443,NY,RENT,3500,690-694,9,973,0,4 years
91173,4325,4325,0.1016,36 months,debt_consolidation,0.0179,GA,MORTGAGE,11000,715-719,9,75,3,n/a
56404,12000,12000,0.1311,36 months,debt_consolidation,0.1704,WA,MORTGAGE,4583.33,695-699,9,41871,0,3 years
75634,10000,10000,0.1531,36 months,debt_consolidation,0.1040,CA,RENT,9000,665-669,12,5141,0,10+ years
93296,12000,12000,0.1016,36 months,home_improvement,0.0805,MA,MORTGAGE,6250,720-724,9,11626,0,< 1 year
69885,6000,6000,0.1212,36 months,debt_consolidation,0.0494,WI,MORTGAGE,4333.33,690-694,12,9656,2,5 years
31787,2200,2200,0.1349,36 months,debt_consolidation,0.0327,WA,OWN,6666.67,700-704,2,10142,0,5 years
38073,5000,5000,0.1427,36 months,debt_consolidation,0.1700,FL,OWN,5000,670-674,9,14748,3,1 year
25600,12000,12000,0.1969,60 months,debt_consolidation,0.1623,NV,RENT,3376,665-669,12,8437,1,4 years
36576,3000,3000,0.0790,36 months,credit_card,0.2203,PA,MORTGAGE,5583.33,705-709,15,12968,0,3 years
81991,30000,30000,0.2149,60 months,debt_consolidation,0.1689,NY,MORTGAGE,13999.17,700-704,14,61579,0,10+ years
73434,10800,10800,0.1212,36 months,debt_consolidation,0.2670,NJ,RENT,5833.33,695-699,6,27585,0,5 years
50956,10500,10500,0.1825,36 months,debt_consolidation,0.1152,GA,MORTGAGE,8750,660-664,15,9984,3,8 years
45189,10000,10000,0.0662,36 months,debt_consolidation,0.0549,CA,MORTGAGE,10833.33,755-759,5,40827,0,7 years
80144,24000,23950,0.1212,36 months,debt_consolidation,0.2668,TX,MORTGAGE,5791.67,715-719,13,34104,0,10+ years
77251,16000,16000,0.1409,36 months,debt_consolidation,0.0285,CA,MORTGAGE,3333.33,690-694,6,3909,0,7 years
49782,15000,15000,0.1399,36 months,debt_consolidation,0.1260,MI,MORTGAGE,3500,705-709,7,13036,1,10+ years
101411,9500,9500,0.2198,36 months,other,0.1601,PA,RENT,4500,660-664,7,3673,1,3 years
81782,35000,35000,0.1905,36 months,debt_consolidation,0.1575,FL,MORTGAGE,18750,690-694,21,73813,1,4 years
71268,5000,5000,0.0790,36 months,debt_consolidation,0.2182,TX,MORTGAGE,4166.67,725-729,8,15502,1,n/a
38833,15000,15000,0.1171,36 months,debt_consolidation,0.1170,FL,RENT,6250,700-704,6,6622,0,6 years
69249,5000,5000,0.1531,36 months,debt_consolidation,0.1737,GA,RENT,1750,675-679,3,10361,0,< 1 year
5299,19000,18975,0.1114,36 months,debt_consolidation,0.1983,CA,RENT,4548.83,775-779,12,33809,1,5 years
61835,11625,11625,0.1580,36 months,debt_consolidation,0.3112,OK,RENT,2860,680-684,14,8374,2,7 years
64769,25000,25000,0.0762,36 months,wedding,0.1345,NY,RENT,6750,750-754,16,17193,0,5 years
35250,8000,8000,0.1269,36 months,debt_consolidation,0.0767,AL,OWN,7916.67,685-689,4,1442,0,6 years
7007,9800,9675,0.0859,36 months,major_purchase,0.1499,HI,MORTGAGE,3583.33,760-764,12,5164,0,3 years
2577,6000,5975,0.0800,36 months,wedding,0.0106,NY,RENT,5000,765-769,6,7161,0,3 years
37863,10200,10200,0.1242,36 months,debt_consolidation,0.1786,CO,MORTGAGE,5833.33,705-709,9,9817,2,4 years
34551,10500,10500,0.0662,36 months,medical,0.1626,OK,MORTGAGE,4853.33,760-764,9,2816,1,3 years
38905,5000,5000,0.0790,36 months,small_business,0.0775,IL,MORTGAGE,5500,725-729,11,16396,3,< 1 year
53762,17500,17500,0.0790,36 months,small_business,0.0797,CA,RENT,5416.67,810-814,4,17,0,< 1 year
32323,4000,4000,0.1903,36 months,other,0.1056,CA,RENT,1600,685-689,2,299,0,6 years
49042,22000,22000,0.1212,36 months,debt_consolidation,0.1693,NY,RENT,3916.67,715-719,4,22142,0,1 year
16346,5000,4900,0.0579,36 months,other,0.0918,NY,RENT,5520,750-754,10,7351,0,7 years
100424,8000,8000,0.1629,36 months,credit_card,0.2919,IL,MORTGAGE,6916.67,685-689,14,21498,2,4 years
75831,19125,19125,0.1849,60 months,other,0.2910,GA,RENT,4166.67,700-704,14,28108,3,6 years
67863,16000,16000,0.1212,36 months,debt_consolidation,0.1823,NY,RENT,4166.67,700-704,14,16309,0,1 year
103546,4500,4500,0.1459,36 months,vacation,0.1735,NY,OWN,6000,660-664,18,5197,4,2 years
50874,5800,5800,0.2245,60 months,other,0.1186,CA,RENT,1416.67,665-669,3,6077,2,6 years
101548,10000,525,0.1470,36 months,credit_card,0.0637,FL,RENT,5416.67,645-649,4,2211,6,< 1 year
80841,16750,16750,0.1875,36 months,debt_consolidation,0.0884,FL,MORTGAGE,5666.67,680-684,8,13567,1,4 years
65855,3600,3600,0.1212,36 months,debt_consolidation,0.2716,CA,OWN,3333.33,695-699,15,12153,1,10+ years
26919,10000,10000,0.1562,36 months,debt_consolidation,0.1219,NY,RENT,7500,670-674,12,17133,1,10+ years
31098,6000,6000,0.0542,36 months,vacation,0.0151,MD,OWN,4250,800-804,14,1838,0,10+ years
68962,10000,10000,0.0762,36 months,medical,0.1326,MN,MORTGAGE,7416.67,735-739,12,16297,2,10+ years
61493,10000,10000,0.1777,36 months,credit_card,0.0580,CO,RENT,7166.67,685-689,3,15279,1,10+ years
28574,5000,5000,0.0749,36 months,home_improvement,0.1645,VA,MORTGAGE,18750,745-749,10,129071,0,10+ years
69724,35000,34950,0.2376,60 months,debt_consolidation,0.2422,NY,RENT,7331.25,665-669,16,28687,2,4 years
33068,7000,7000,0.0790,36 months,wedding,0.2072,CT,RENT,6000,715-719,9,6659,0,< 1 year
1342,3000,1647.62,0.1020,36 months,major_purchase,0.0033,CT,RENT,4583.33,800-804,3,37,0,< 1 year
31200,28000,28000,0.1562,36 months,debt_consolidation,0.0570,GA,MORTGAGE,6250,695-699,6,11923,1,3 years
10264,15200,6800,0.1558,60 months,home_improvement,0.1922,DC,MORTGAGE,12083.33,690-694,20,19712,2,2 years
49920,15775,15775,0.1465,36 months,other,0.0337,NY,RENT,4000,710-714,11,4058,1,10+ years
30441,30000,22425,0.1059,36 months,home_improvement,0.0815,MN,MORTGAGE,22916.67,765-769,13,1945,0,4 years
33148,3000,3000,0.0991,36 months,wedding,0.0475,IL,OWN,4166.67,710-714,9,7321,3,6 years
79022,15350,15350,0.1849,36 months,debt_consolidation,0.1509,GA,MORTGAGE,4400,670-674,7,12823,0,10+ years
45222,26500,26500,0.0976,60 months,small_business,0.1719,NY,MORTGAGE,5416.67,785-789,13,9966,0,10+ years
22768,6400,6400,0.0600,60 months,home_improvement,0.0309,FL,MORTGAGE,6250,695-699,5,241,0,3 years
96412,13200,13200,0.1433,36 months,debt_consolidation,0.2875,CA,RENT,3833.33,695-699,9,8568,1,10+ years
29340,12000,12000,0.1149,36 months,debt_consolidation,0.1773,CA,MORTGAGE,7300,705-709,9,38342,0,4 years
73863,4000,4000,0.0603,36 months,car,0.3367,GA,MORTGAGE,7917,800-804,19,55123,1,10+ years
32269,2500,2500,0.0662,36 months,home_improvement,0.1096,MD,MORTGAGE,6166.67,730-734,14,24495,0,10+ years
45097,28000,27925,0.1855,36 months,debt_consolidation,0.0899,LA,MORTGAGE,6666.67,700-704,6,14189,2,n/a
62353,9000,8975,0.0890,36 months,debt_consolidation,0.0733,CA,RENT,12500,730-734,4,12964,0,5 years
53042,6600,6600,0.0603,36 months,home_improvement,0.1669,NC,MORTGAGE,6250,750-754,14,17258,0,10+ years
92363,27050,27050,0.1727,60 months,credit_card,0.2759,WA,MORTGAGE,5025,705-709,13,40037,1,10+ years
27374,4800,4800,0.1599,36 months,major_purchase,0.0000,IL,RENT,4583.33,675-679,2,0,0,6 years
67953,7550,7550,0.1016,36 months,debt_consolidation,0.0383,CA,MORTGAGE,8333.33,710-714,10,10204,0,2 years
5880,10000,10000,0.0774,36 months,debt_consolidation,0.0017,OR,MORTGAGE,7083.33,775-779,9,2994,0,10+ years
3031,12500,12275,0.1126,36 months,credit_card,0.1221,TX,RENT,4333.33,730-734,6,12568,2,8 years
92244,27575,27575,0.1905,36 months,debt_consolidation,0.1930,WI,RENT,5166.67,660-664,6,14935,1,10+ years
61500,20000,20000,0.1311,36 months,debt_consolidation,0.0394,IL,MORTGAGE,7238.92,720-724,6,11751,3,10+ years
7002,15000,14900,0.1461,36 months,major_purchase,0.0917,TX,RENT,3000,730-734,8,0,2,< 1 year
53002,18000,18000,0.0890,36 months,home_improvement,0.1279,NV,MORTGAGE,10500,730-734,15,4856,2,< 1 year
32737,5400,5375,0.0890,36 months,small_business,0.0627,OH,RENT,3000,785-789,2,90,2,n/a
47286,23000,22950,0.1581,36 months,credit_card,0.1602,CA,RENT,7083.33,695-699,8,9664,2,4 years
16577,8000,7950,0.0579,36 months,home_improvement,0.1965,FL,OWN,5833.33,770-774,8,0,0,3 years
35530,3000,2950,0.1269,36 months,debt_consolidation,0.0425,SC,OWN,1200,705-709,4,1643,0,< 1 year
23575,7200,7200,0.0692,36 months,credit_card,0.1172,RI,MORTGAGE,7083.33,780-784,6,15933,1,3 years
99508,15350,15350,0.1580,36 months,credit_card,0.0741,CO,MORTGAGE,5666.67,670-674,6,8128,0,1 year
72670,6000,6000,0.1212,36 months,wedding,0.2121,GA,RENT,3333.33,685-689,8,4638,0,2 years
2882,15000,8081.65,0.1316,36 months,debt_consolidation,0.1316,GA,MORTGAGE,2583.33,755-759,3,4923,2,9 years
20093,5000,5000,0.1268,60 months,moving,0.1259,NY,RENT,4416.67,690-694,13,7686,0,< 1 year
9020,2575,2575,0.0676,36 months,educational,0.0480,MA,RENT,6875,760-764,6,4678,2,3 years
52639,1800,1800,0.1367,36 months,vacation,0.2421,NY,RENT,4250,670-674,11,5757,0,5 years
76348,10000,10000,0.1409,36 months,other,0.2644,WA,MORTGAGE,5416.67,700-704,6,18652,1,6 years
57727,7750,7750,0.1074,36 months,debt_consolidation,0.0651,UT,MORTGAGE,2916.67,705-709,5,6889,0,6 years
91915,12000,12000,0.1629,36 months,debt_consolidation,0.2876,CT,RENT,5666.67,660-664,21,16822,2,3 years
97696,10000,10000,0.0603,36 months,debt_consolidation,0.1600,KY,MORTGAGE,8333.33,780-784,11,14832,0,10+ years
51525,4950,4950,0.1367,36 months,debt_consolidation,0.1411,CA,MORTGAGE,4166.67,665-669,15,8379,0,5 years
41626,8400,8350,0.0603,36 months,medical,0.1534,WA,MORTGAGE,3200,760-764,6,10576,0,n/a
71634,3500,3500,0.1212,36 months,other,0.1782,CA,MORTGAGE,5416.67,695-699,15,4067,3,< 1 year
51795,12000,12000,0.1629,36 months,credit_card,0.1837,TX,MORTGAGE,7083.33,665-669,16,16993,2,7 years
73201,18000,18000,0.2247,60 months,credit_card,0.1717,OH,MORTGAGE,5562.92,660-664,13,14866,3,7 years
31566,14675,14650,0.1299,60 months,debt_consolidation,0.2918,FL,RENT,3167,725-729,7,21088,1,6 years
90826,13000,13000,0.1409,36 months,credit_card,0.1609,CT,RENT,3250,675-679,6,6930,0,2 years
64262,15000,15000,0.1311,36 months,debt_consolidation,0.3312,NY,RENT,4166.67,695-699,10,13198,0,9 years
2749,8250,8205.63,0.0932,36 months,credit_card,0.2445,OH,MORTGAGE,3300,755-759,17,29576,2,8 years
73233,6900,6900,0.1409,36 months,credit_card,0.1778,AR,OWN,4166.67,685-689,9,9720,1,10+ years
88842,35000,35000,0.2049,60 months,debt_consolidation,0.1254,PA,MORTGAGE,10416.67,685-689,14,26487,4,2 years
8773,25000,23995.24,0.1062,36 months,debt_consolidation,0.1221,VA,RENT,11166.67,750-754,6,28556,0,7 years
94795,9600,9600,0.1114,36 months,debt_consolidation,0.2058,NV,MORTGAGE,3833.33,705-709,9,44403,1,5 years
71783,9000,8975,0.0662,36 months,debt_consolidation,0.1711,NY,MORTGAGE,6750,755-759,7,12553,2,7 years
65113,6500,6500,0.0890,36 months,credit_card,0.3145,CO,MORTGAGE,6000,740-744,14,61865,2,< 1 year
5189,1750,1750,0.1114,36 months,credit_card,0.0802,CA,RENT,1833.33,720-724,4,1838,0,2 years
20592,5000,5000,0.0542,36 months,wedding,0.2315,OH,RENT,2833.33,750-754,7,4573,0,3 years
71038,6000,6000,0.1580,36 months,debt_consolidation,0.1640,GA,RENT,2500,670-674,5,5892,1,4 years
72764,25000,25000,0.1409,36 months,debt_consolidation,0.1913,CA,RENT,6083.33,700-704,19,14666,0,10+ years
77043,13000,13000,0.1433,36 months,debt_consolidation,0.1108,MN,MORTGAGE,3358.33,690-694,7,6327,1,10+ years
51326,5875,5875,0.0790,36 months,other,0.1475,NV,RENT,5416.67,720-724,15,2617,2,4 years
57788,5000,5000,0.1629,36 months,debt_consolidation,0.2077,VA,RENT,4583.33,660-664,19,11991,1,6 years
13386,16000,7925,0.1645,60 months,debt_consolidation,0.1666,MO,MORTGAGE,5500,680-684,6,6842,0,9 years
17877,12000,12000,0.0962,60 months,small_business,0.1412,GA,MORTGAGE,6666.67,730-734,10,6969,1,4 years
88396,35000,35000,0.1212,36 months,debt_consolidation,0.1990,FL,MORTGAGE,13933.33,720-724,18,24288,0,1 year
19466,4800,4775,0.0579,36 months,car,0.1171,NJ,RENT,2800,735-739,6,9228,0,3 years
19859,6500,6500,0.1111,36 months,credit_card,0.1398,WY,MORTGAGE,2253,680-684,11,7558,1,2 years
19297,25000,25000,0.1306,36 months,other,0.0414,MI,MORTGAGE,11500,735-739,4,6578,0,< 1 year
82626,1000,1000,0.0762,36 months,debt_consolidation,0.0559,MD,MORTGAGE,9333.33,785-789,6,350,4,2 years
8078,16000,16000,0.1348,36 months,debt_consolidation,0.1517,KY,MORTGAGE,4166.67,700-704,6,1962,1,2 years
102374,7675,2275,0.1513,36 months,other,0.1808,TX,MORTGAGE,11666.67,645-649,13,12578,0,9 years
78732,13600,13600,0.0890,36 months,debt_consolidation,0.1094,WA,RENT,10000,720-724,15,18028,0,10+ years
71751,12000,12000,0.1531,36 months,debt_consolidation,0.3291,CA,RENT,5500,680-684,21,13559,1,3 years
20020,15000,15000,0.1037,36 months,house,0.2672,AL,MORTGAGE,5250,750-754,11,44850,1,10+ years
89844,7125,7125,0.1849,36 months,debt_consolidation,0.1118,CT,MORTGAGE,5636.75,675-679,14,5383,2,8 years
35991,35000,34977.35,0.2167,60 months,house,0.1425,CA,RENT,20833.33,675-679,12,79792,0,6 years
92975,11575,11575,0.1311,60 months,debt_consolidation,0.1837,NY,MORTGAGE,3750,725-729,12,18790,1,10+ years
5274,5000,5000,0.0740,36 months,major_purchase,0.1422,GA,RENT,6000,780-784,7,1751,0,6 years
48009,5000,5000,0.0762,36 months,debt_consolidation,0.0304,NY,OWN,2500,735-739,5,4864,0,3 years
1046,5000,527.49,0.1324,36 months,debt_consolidation,0.1328,NJ,RENT,4833,660-664,10,9816,0,4 years
35719,7000,7000,0.0790,36 months,debt_consolidation,0.1261,VA,MORTGAGE,6250,720-724,13,19848,0,10+ years
102294,20000,16755.89,0.1450,36 months,debt_consolidation,0.2540,MN,MORTGAGE,6916.67,715-719,10,26938,0,10+ years
22561,7000,7000,0.0692,36 months,debt_consolidation,0.1715,CA,RENT,4583.33,735-739,13,6897,0,5 years
7816,20000,19900,0.1025,36 months,debt_consolidation,0.1751,DE,MORTGAGE,7833.33,760-764,14,49898,0,5 years
47745,6000,6000,0.0790,36 months,major_purchase,0.2013,PA,MORTGAGE,7750,725-729,16,7533,1,8 years
21458,14000,14000,0.0766,36 months,major_purchase,0.1068,FL,MORTGAGE,21666.67,735-739,14,13850,3,1 year
62166,30000,30000,0.1905,36 months,debt_consolidation,0.1477,CO,MORTGAGE,9166.67,685-689,20,22299,1,< 1 year
42655,18225,18200,0.1758,36 months,debt_consolidation,0.2464,TX,MORTGAGE,5000,660-664,12,16398,2,7 years
19255,12000,12000,0.0729,36 months,other,0.1615,VA,MORTGAGE,11667,720-724,9,113671,0,4 years
51684,10000,10000,0.1212,36 months,debt_consolidation,0.1299,CA,MORTGAGE,5833.33,690-694,8,13885,0,6 years
22667,16300,16275,0.1491,36 months,credit_card,0.2417,FL,MORTGAGE,5222,675-679,11,40988,1,10+ years
587,11000,2116.76,0.1387,36 months,debt_consolidation,0.2093,NY,OWN,4167,670-674,14,17436,0,2 years
13863,25000,20850,0.1558,60 months,small_business,0.0060,CA,MORTGAGE,5666.67,785-789,2,0,4,10+ years
89627,24000,24000,0.1212,36 months,debt_consolidation,0.2901,MD,MORTGAGE,7500,670-674,12,14804,1,< 1 year
32044,6000,6000,0.0749,36 months,major_purchase,0.0881,NY,OWN,2462.75,715-719,11,8644,0,2 years
25141,10000,9975,0.1149,60 months,debt_consolidation,0.2269,NV,MORTGAGE,5623.33,765-769,11,26898,1,10+ years
65250,2000,2000,0.0890,36 months,car,0.2370,MI,OWN,3000,730-734,5,2117,1,10+ years
87148,6625,6600,0.1114,36 months,credit_card,0.1012,PA,OWN,1916.67,690-694,10,5449,0,n/a
102167,20000,6350.01,0.1671,36 months,debt_consolidation,0.2083,NY,RENT,5333.33,660-664,11,11881,4,1 year
3630,12000,11925,0.0963,36 months,other,0.0912,WA,MORTGAGE,6250,745-749,8,5212,2,1 year
20690,4200,4200,0.0729,36 months,debt_consolidation,0.0658,IL,RENT,5133.33,765-769,4,5475,1,4 years
103394,6950,6875,0.1311,36 months,other,0.1251,TX,MORTGAGE,7916.67,715-719,5,1593,4,10+ years
32875,6000,6000,0.0751,36 months,major_purchase,0.0474,IL,MORTGAGE,10916,765-769,18,6317,4,6 years
29116,8400,8400,0.1099,36 months,debt_consolidation,0.2485,CA,MORTGAGE,7583,700-704,9,342,0,< 1 year
14340,5000,5000,0.0788,36 months,home_improvement,0.1661,NJ,MORTGAGE,5833.33,725-729,18,19771,2,10+ years
82457,4750,4750,0.1016,36 months,credit_card,0.3249,MO,MORTGAGE,3500,695-699,15,36512,0,10+ years
12895,15000,14925,0.1075,60 months,moving,0.1755,NY,RENT,5761,785-789,12,2691,2,10+ years
98544,12000,12000,0.1629,36 months,home_improvement,0.0507,WI,MORTGAGE,2916.67,670-674,13,10360,2,5 years
1324,4000,0,0.0768,36 months,other,0.1074,GA,RENT,3417,790-794,11,2775,3,1 year
16593,12800,12700,0.1261,60 months,debt_consolidation,0.0902,FL,RENT,5166.67,725-729,7,7942,0,5 years
36466,12000,11950,0.0890,60 months,car,0.0975,CA,MORTGAGE,9866,795-799,9,2787,0,4 years
37814,9425,9425,0.1349,36 months,credit_card,0.1571,CA,RENT,3750,670-674,12,15116,0,8 years
43682,28000,28000,0.1242,36 months,debt_consolidation,0.0298,NY,MORTGAGE,27083.33,730-734,5,12888,1,5 years
70424,30000,29975,0.2100,60 months,debt_consolidation,0.1712,TX,MORTGAGE,8666.67,710-714,8,47503,0,6 years
27552,9600,9600,0.1839,36 months,debt_consolidation,0.1469,VA,MORTGAGE,5166.67,660-664,8,13041,1,10+ years
3606,7800,7242.07,0.1284,36 months,debt_consolidation,0.1677,NY,RENT,6000,695-699,8,13835,0,4 years
39094,12000,12000,0.1065,36 months,debt_consolidation,0.2606,GA,RENT,5833.33,720-724,15,24893,3,10+ years
83231,9600,9600,0.1531,36 months,debt_consolidation,0.1282,PA,MORTGAGE,6000,675-679,13,11407,2,10+ years
9533,6000,6000,0.1062,36 months,credit_card,0.2338,VA,MORTGAGE,5000,705-709,15,46125,1,2 years
19581,7500,7500,0.1111,60 months,debt_consolidation,0.2363,NY,RENT,1820,720-724,13,4409,2,2 years
50339,7000,6950,0.0603,36 months,debt_consolidation,0.0829,FL,OWN,2750,760-764,8,10860,0,4 years
35460,10000,10000,0.1171,36 months,debt_consolidation,0.0585,NY,RENT,4333.33,685-689,8,7072,0,10+ years
102138,3200,2799.99,0.1261,36 months,credit_card,0.1672,CA,MORTGAGE,6476,665-669,14,80837,4,10+ years
13279,13000,12850,0.1038,36 months,debt_consolidation,0.1172,VA,MORTGAGE,10533.33,725-729,13,37252,0,< 1 year
71487,35000,35000,0.2470,60 months,debt_consolidation,0.0826,AL,MORTGAGE,10000,660-664,12,21391,2,10+ years
97364,20800,20775,0.0662,36 months,credit_card,0.1564,CA,MORTGAGE,10833.33,710-714,11,15192,0,10+ years
77135,1600,1600,0.1629,36 months,debt_consolidation,0.0780,OR,RENT,2666.67,660-664,7,5504,2,6 years
67373,10050,9900,0.0603,36 months,small_business,0.2072,TX,RENT,2500,750-754,11,13669,0,9 years
51379,8000,7997.85,0.1799,36 months,debt_consolidation,0.2111,CA,MORTGAGE,8583.33,670-674,15,14584,3,5 years
97075,16000,16000,0.1212,36 months,debt_consolidation,0.2430,CT,RENT,6250,715-719,8,10304,2,< 1 year
46056,11700,11675,0.0790,36 months,home_improvement,0.0563,CA,MORTGAGE,3320.83,720-724,11,14301,0,10+ years
72277,13475,13475,0.1212,36 months,debt_consolidation,0.2827,FL,MORTGAGE,5666.67,705-709,12,7722,1,7 years
31190,14500,14500,0.0542,36 months,home_improvement,0.0715,OH,MORTGAGE,10000,800-804,9,40,0,10+ years
103224,5000,5000,0.1461,36 months,other,0.0636,CA,RENT,3083.33,665-669,8,4680,4,5 years
53652,13600,13575,0.0662,36 months,debt_consolidation,0.1731,CA,MORTGAGE,11250,750-754,11,77377,1,4 years
75321,2200,2200,0.0890,36 months,debt_consolidation,0.1402,CA,RENT,7083.33,715-719,10,14980,1,10+ years
49761,9000,9000,0.0976,36 months,credit_card,0.1867,NY,MORTGAGE,5833.33,705-709,12,12035,0,10+ years
87513,27925,27925,0.2247,60 months,debt_consolidation,0.0394,FL,MORTGAGE,7000,685-689,14,9914,2,n/a
80353,9450,9450,0.1433,36 months,debt_consolidation,0.2451,NY,RENT,2916.67,670-674,12,11555,0,4 years
25236,15175,15175,0.2025,60 months,debt_consolidation,0.1878,WA,RENT,4333.33,665-669,6,18049,0,8 years
30497,10000,10000,0.0749,36 months,debt_consolidation,0.0777,AZ,RENT,3166.67,735-739,4,0,0,1 year
96700,16000,16000,0.1629,36 months,debt_consolidation,0.2062,FL,RENT,5416.67,680-684,13,14246,1,< 1 year
85272,13200,13200,0.1531,36 months,debt_consolidation,0.0861,KY,MORTGAGE,3333.33,680-684,10,5400,3,10+ years
60220,20000,20000,0.1875,60 months,other,0.0630,PA,RENT,15416.67,695-699,13,15026,3,< 1 year
78437,8500,8500,0.1777,36 months,other,0.1800,MI,RENT,2583.33,665-669,9,13718,0,2 years
40066,3000,3000,0.1427,36 months,debt_consolidation,0.1077,NY,OWN,3833,670-674,11,5515,1,< 1 year
91905,10000,10000,0.1531,36 months,credit_card,0.1899,FL,MORTGAGE,5583.33,675-679,16,12723,1,2 years
99247,14075,14075,0.1629,36 months,debt_consolidation,0.1102,NY,MORTGAGE,10416.67,700-704,10,7653,3,10+ years
62996,19000,19000,0.1972,60 months,credit_card,0.1985,NY,RENT,4500,680-684,13,11388,1,3 years
2088,25000,11696.88,0.1284,36 months,small_business,0.0552,IL,MORTGAGE,8666.67,760-764,9,1900,4,10+ years
84001,9000,9000,0.1311,36 months,credit_card,0.2388,GA,MORTGAGE,4229.17,685-689,11,7496,0,1 year
80275,6775,6775,0.1311,36 months,debt_consolidation,0.1020,NC,RENT,6666.67,685-689,14,5457,2,< 1 year
24608,2200,2200,0.1523,36 months,debt_consolidation,0.1620,CA,RENT,2500,675-679,7,2476,2,2 years
2891,10800,10550,0.0800,36 months,home_improvement,0.0682,CA,MORTGAGE,11250,790-794,7,10232,2,< 1 year
94245,16800,16800,0.1433,60 months,debt_consolidation,0.2175,WV,MORTGAGE,6666.67,675-679,14,23740,0,1 year
25703,3500,3500,0.1562,36 months,home_improvement,0.1441,GA,MORTGAGE,6833.33,660-664,7,11526,3,8 years
24038,9250,9250,0.1879,60 months,debt_consolidation,0.1927,AK,MORTGAGE,4448,660-664,9,22704,0,10+ years
31842,23400,23400,0.0749,36 months,debt_consolidation,0.1566,TX,RENT,5580,740-744,6,2086,0,1 year
81514,10375,10375,0.0790,36 months,debt_consolidation,0.2764,MD,MORTGAGE,4500,745-749,7,0,0,5 years
